"wk","tr","vu","ve1","ve2","str","rl","nc","R0","stg","id"
0,36,90,50,90,"AE",0,0.86,2.5,"1",257
1,36,90,50,90,"AE",0,0.57,2.5,"1",257
1,36,90,50,90,"AE",0,0.57,2.5,"2",258
2,36,90,50,90,"AE",0,0.86,2.5,"2",258
3,36,90,50,90,"AE",0,0.86,2.5,"2",258
4,36,90,50,90,"AE",0,0.43,2.5,"2",258
5,36,90,50,90,"AE",0,0.57,2.5,"2",258
6,36,90,50,90,"AE",0,0.29,2.5,"2",258
7,36,90,50,90,"AE",0,0.29,2.5,"2",258
8,36,90,50,90,"AE",0,0,2.5,"2",258
9,36,90,50,90,"AE",0,0.14,2.5,"2",258
10,36,90,50,90,"AE",0,0,2.5,"2",258
10,36,90,50,90,"AE",0,0,2.5,"1b",259
11,36,90,50,90,"AE",0,0,2.5,"1b",259
12,36,90,50,90,"AE",0,0,2.5,"1b",259
13,36,90,50,90,"AE",0,0,2.5,"1b",259
13,36,90,50,90,"AE",0,0,2.5,"1",260
14,36,90,50,90,"AE",0,0,2.5,"1",260
15,36,90,50,90,"AE",0,0.29,2.5,"1",260
16,36,90,50,90,"AE",0,0,2.5,"1",260
16,36,90,50,90,"AE",0,0,2.5,"2",261
17,36,90,50,90,"AE",0,0.43,2.5,"2",261
18,36,90,50,90,"AE",0,0.43,2.5,"2",261
19,36,90,50,90,"AE",0,0.29,2.5,"2",261
20,36,90,50,90,"AE",0,0.43,2.5,"2",261
21,36,90,50,90,"AE",0,0.57,2.5,"2",261
22,36,90,50,90,"AE",0,1,2.5,"2",261
23,36,90,50,90,"AE",0,1,2.5,"2",261
24,36,90,50,90,"AE",0,0.43,2.5,"2",261
25,36,90,50,90,"AE",0,0.43,2.5,"2",261
26,36,90,50,90,"AE",0,0.43,2.5,"2",261
27,36,90,50,90,"AE",0,1,2.5,"2",261
28,36,90,50,90,"AE",0,0.29,2.5,"2",261
29,36,90,50,90,"AE",0,1.14,2.5,"2",261
30,36,90,50,90,"AE",0,1,2.5,"2",261
31,36,90,50,90,"AE",0,0.71,2.5,"2",261
32,36,90,50,90,"AE",0,1.29,2.5,"2",261
32,36,90,50,90,"AE",0,1.29,2.5,"3",262
33,36,90,50,90,"AE",0,1.29,2.5,"3",262
34,36,90,50,90,"AE",0,2.29,2.5,"3",262
35,36,90,50,90,"AE",0,1.14,2.5,"3",262
36,36,90,50,90,"AE",0,0.86,2.5,"3",262
37,36,90,50,90,"AE",0,0.86,2.5,"3",262
38,36,90,50,90,"AE",0,1,2.5,"3",262
38,36,90,50,90,"AE",0,1,2.5,"2",263
39,36,90,50,90,"AE",0,1,2.5,"2",263
40,36,90,50,90,"AE",0,2,2.5,"2",263
41,36,90,50,90,"AE",0,1.14,2.5,"2",263
41,36,90,50,90,"AE",0,1.14,2.5,"3",264
42,36,90,50,90,"AE",0,1.43,2.5,"3",264
43,36,90,50,90,"AE",0,2,2.5,"3",264
44,36,90,50,90,"AE",0,1.57,2.5,"3",264
45,36,90,50,90,"AE",0,1.57,2.5,"3",264
46,36,90,50,90,"AE",0,2.14,2.5,"3",264
47,36,90,50,90,"AE",0,1.86,2.5,"3",264
48,36,90,50,90,"AE",0,2.43,2.5,"3",264
49,36,90,50,90,"AE",0,1.43,2.5,"3",264
50,36,90,50,90,"AE",0,1.57,2.5,"3",264
51,36,90,50,90,"AE",0,1.29,2.5,"3",264
52,36,90,50,90,"AE",0,0.86,2.5,"3",264
52,36,90,50,90,"AE",0,0.86,2.5,"2",265
0,684,90,50,90,"AE",0,0.86,2.5,"1",4611
1,684,90,50,90,"AE",0,1,2.5,"1",4611
1,684,90,50,90,"AE",0,1,2.5,"2",4612
2,684,90,50,90,"AE",0,1.29,2.5,"2",4612
2,684,90,50,90,"AE",0,1.29,2.5,"3",4613
3,684,90,50,90,"AE",0,1,2.5,"3",4613
4,684,90,50,90,"AE",0,1.14,2.5,"3",4613
5,684,90,50,90,"AE",0,0.43,2.5,"3",4613
6,684,90,50,90,"AE",0,0.71,2.5,"3",4613
6,684,90,50,90,"AE",0,0.71,2.5,"2",4614
7,684,90,50,90,"AE",0,0.57,2.5,"2",4614
8,684,90,50,90,"AE",0,0.29,2.5,"2",4614
9,684,90,50,90,"AE",0,0.57,2.5,"2",4614
10,684,90,50,90,"AE",0,1.14,2.5,"2",4614
11,684,90,50,90,"AE",0,0.86,2.5,"2",4614
12,684,90,50,90,"AE",0,1,2.5,"2",4614
13,684,90,50,90,"AE",0,1.71,2.5,"2",4614
13,684,90,50,90,"AE",0,1.71,2.5,"3",4615
14,684,90,50,90,"AE",0,0.43,2.5,"3",4615
15,684,90,50,90,"AE",0,0.14,2.5,"3",4615
16,684,90,50,90,"AE",0,0.43,2.5,"3",4615
17,684,90,50,90,"AE",0,1,2.5,"3",4615
17,684,90,50,90,"AE",0,1,2.5,"2",4616
18,684,90,50,90,"AE",0,0.57,2.5,"2",4616
19,684,90,50,90,"AE",0,0.29,2.5,"2",4616
20,684,90,50,90,"AE",0,0.29,2.5,"2",4616
21,684,90,50,90,"AE",0,0.14,2.5,"2",4616
22,684,90,50,90,"AE",0,0,2.5,"2",4616
23,684,90,50,90,"AE",0,0,2.5,"2",4616
24,684,90,50,90,"AE",0,0,2.5,"2",4616
24,684,90,50,90,"AE",0,0,2.5,"1b",4617
25,684,90,50,90,"AE",0,0,2.5,"1b",4617
26,684,90,50,90,"AE",0,0.14,2.5,"1b",4617
27,684,90,50,90,"AE",0,0,2.5,"1b",4617
28,684,90,50,90,"AE",0,0.14,2.5,"1b",4617
29,684,90,50,90,"AE",0,0.29,2.5,"1b",4617
30,684,90,50,90,"AE",0,0.43,2.5,"1b",4617
30,684,90,50,90,"AE",0,0.43,2.5,"2",4618
31,684,90,50,90,"AE",0,0.14,2.5,"2",4618
32,684,90,50,90,"AE",0,0,2.5,"2",4618
33,684,90,50,90,"AE",0,0.14,2.5,"2",4618
34,684,90,50,90,"AE",0,0.14,2.5,"2",4618
35,684,90,50,90,"AE",0,0.29,2.5,"2",4618
36,684,90,50,90,"AE",0,0.71,2.5,"2",4618
37,684,90,50,90,"AE",0,0.71,2.5,"2",4618
38,684,90,50,90,"AE",0,0.43,2.5,"2",4618
39,684,90,50,90,"AE",0,1.14,2.5,"2",4618
40,684,90,50,90,"AE",0,0.71,2.5,"2",4618
41,684,90,50,90,"AE",0,1.14,2.5,"2",4618
42,684,90,50,90,"AE",0,0.86,2.5,"2",4618
43,684,90,50,90,"AE",0,0.57,2.5,"2",4618
44,684,90,50,90,"AE",0,0.43,2.5,"2",4618
45,684,90,50,90,"AE",0,0.14,2.5,"2",4618
46,684,90,50,90,"AE",0,0.29,2.5,"2",4618
47,684,90,50,90,"AE",0,0.14,2.5,"2",4618
48,684,90,50,90,"AE",0,0.29,2.5,"2",4618
49,684,90,50,90,"AE",0,0.29,2.5,"2",4618
50,684,90,50,90,"AE",0,0.29,2.5,"2",4618
51,684,90,50,90,"AE",0,0.14,2.5,"2",4618
52,684,90,50,90,"AE",0,0.29,2.5,"2",4618
0,1332,90,50,90,"AE",0,0.86,2.5,"1",9237
1,1332,90,50,90,"AE",0,1.14,2.5,"1",9237
1,1332,90,50,90,"AE",0,1.14,2.5,"2",9238
2,1332,90,50,90,"AE",0,0.86,2.5,"2",9238
2,1332,90,50,90,"AE",0,0.86,2.5,"3",9239
3,1332,90,50,90,"AE",0,0.43,2.5,"3",9239
4,1332,90,50,90,"AE",0,0.14,2.5,"3",9239
5,1332,90,50,90,"AE",0,0,2.5,"3",9239
6,1332,90,50,90,"AE",0,0,2.5,"3",9239
6,1332,90,50,90,"AE",0,0,2.5,"2",9240
7,1332,90,50,90,"AE",0,0,2.5,"2",9240
8,1332,90,50,90,"AE",0,0,2.5,"2",9240
8,1332,90,50,90,"AE",0,0,2.5,"1b",9241
9,1332,90,50,90,"AE",0,0,2.5,"1b",9241
10,1332,90,50,90,"AE",0,0,2.5,"1b",9241
11,1332,90,50,90,"AE",0,0,2.5,"1b",9241
11,1332,90,50,90,"AE",0,0,2.5,"1",9242
12,1332,90,50,90,"AE",0,0,2.5,"1",9242
13,1332,90,50,90,"AE",0,0,2.5,"1",9242
14,1332,90,50,90,"AE",0,0,2.5,"1",9242
15,1332,90,50,90,"AE",0,0,2.5,"1",9242
16,1332,90,50,90,"AE",0,0,2.5,"1",9242
17,1332,90,50,90,"AE",0,0,2.5,"1",9242
18,1332,90,50,90,"AE",0,0,2.5,"1",9242
19,1332,90,50,90,"AE",0,0,2.5,"1",9242
20,1332,90,50,90,"AE",0,0,2.5,"1",9242
21,1332,90,50,90,"AE",0,0,2.5,"1",9242
22,1332,90,50,90,"AE",0,0,2.5,"1",9242
23,1332,90,50,90,"AE",0,0,2.5,"1",9242
24,1332,90,50,90,"AE",0,0,2.5,"1",9242
25,1332,90,50,90,"AE",0,0,2.5,"1",9242
26,1332,90,50,90,"AE",0,0,2.5,"1",9242
27,1332,90,50,90,"AE",0,0,2.5,"1",9242
28,1332,90,50,90,"AE",0,0,2.5,"1",9242
29,1332,90,50,90,"AE",0,0,2.5,"1",9242
30,1332,90,50,90,"AE",0,0,2.5,"1",9242
31,1332,90,50,90,"AE",0,0,2.5,"1",9242
32,1332,90,50,90,"AE",0,0.29,2.5,"1",9242
33,1332,90,50,90,"AE",0,0.29,2.5,"1",9242
33,1332,90,50,90,"AE",0,0.29,2.5,"2",9243
34,1332,90,50,90,"AE",0,0.29,2.5,"2",9243
35,1332,90,50,90,"AE",0,0.29,2.5,"2",9243
36,1332,90,50,90,"AE",0,0.29,2.5,"2",9243
37,1332,90,50,90,"AE",0,0,2.5,"2",9243
38,1332,90,50,90,"AE",0,0,2.5,"2",9243
39,1332,90,50,90,"AE",0,0,2.5,"2",9243
39,1332,90,50,90,"AE",0,0,2.5,"1b",9244
40,1332,90,50,90,"AE",0,0.29,2.5,"1b",9244
41,1332,90,50,90,"AE",0,0.29,2.5,"1b",9244
42,1332,90,50,90,"AE",0,0.14,2.5,"1b",9244
42,1332,90,50,90,"AE",0,0.14,2.5,"2",9245
43,1332,90,50,90,"AE",0,0.14,2.5,"2",9245
44,1332,90,50,90,"AE",0,0.14,2.5,"2",9245
45,1332,90,50,90,"AE",0,0.14,2.5,"2",9245
46,1332,90,50,90,"AE",0,0.43,2.5,"2",9245
47,1332,90,50,90,"AE",0,0.43,2.5,"2",9245
48,1332,90,50,90,"AE",0,0.43,2.5,"2",9245
49,1332,90,50,90,"AE",0,0.57,2.5,"2",9245
50,1332,90,50,90,"AE",0,0.86,2.5,"2",9245
51,1332,90,50,90,"AE",0,0.57,2.5,"2",9245
52,1332,90,50,90,"AE",0,0.29,2.5,"2",9245
0,1980,90,50,90,"AE",0,0.86,2.5,"1",13760
1,1980,90,50,90,"AE",0,2.43,2.5,"1",13760
1,1980,90,50,90,"AE",0,2.43,2.5,"2",13761
2,1980,90,50,90,"AE",0,1.29,2.5,"2",13761
2,1980,90,50,90,"AE",0,1.29,2.5,"3",13762
3,1980,90,50,90,"AE",0,0.71,2.5,"3",13762
4,1980,90,50,90,"AE",0,0.71,2.5,"3",13762
5,1980,90,50,90,"AE",0,0.71,2.5,"3",13762
