"wk","tr","vu","ve1","ve2","str","rl","nc","R0","stg","id"
0,496,60,75,50,"LS",1,0.86,2.5,"1",3491
1,496,60,75,50,"LS",1,1.29,2.5,"1",3491
2,496,60,75,50,"LS",1,0.71,2.5,"1",3491
3,496,60,75,50,"LS",1,0.86,2.5,"1",3491
4,496,60,75,50,"LS",1,0.43,2.5,"1",3491
5,496,60,75,50,"LS",1,1,2.5,"1",3491
6,496,60,75,50,"LS",1,0.86,2.5,"1",3491
7,496,60,75,50,"LS",1,0.86,2.5,"1",3491
8,496,60,75,50,"LS",1,0.86,2.5,"1",3491
9,496,60,75,50,"LS",1,1.43,2.5,"1",3491
10,496,60,75,50,"LS",1,2.14,2.5,"1",3491
11,496,60,75,50,"LS",1,2.29,2.5,"1",3491
12,496,60,75,50,"LS",1,3,2.5,"1",3491
13,496,60,75,50,"LS",1,3.71,2.5,"1",3491
14,496,60,75,50,"LS",1,2.86,2.5,"1",3491
15,496,60,75,50,"LS",1,2,2.5,"1",3491
16,496,60,75,50,"LS",1,2.57,2.5,"1",3491
17,496,60,75,50,"LS",1,3,2.5,"1",3491
18,496,60,75,50,"LS",1,2.57,2.5,"1",3491
19,496,60,75,50,"LS",1,1.14,2.5,"1",3491
20,496,60,75,50,"LS",1,2.14,2.5,"1",3491
21,496,60,75,50,"LS",1,2.14,2.5,"1",3491
22,496,60,75,50,"LS",1,1.43,2.5,"1",3491
23,496,60,75,50,"LS",1,2.29,2.5,"1",3491
24,496,60,75,50,"LS",1,2.43,2.5,"1",3491
25,496,60,75,50,"LS",1,2.71,2.5,"1",3491
26,496,60,75,50,"LS",1,2,2.5,"1",3491
27,496,60,75,50,"LS",1,2.43,2.5,"1",3491
28,496,60,75,50,"LS",1,3,2.5,"1",3491
29,496,60,75,50,"LS",1,2.57,2.5,"1",3491
30,496,60,75,50,"LS",1,2.29,2.5,"1",3491
31,496,60,75,50,"LS",1,4,2.5,"1",3491
32,496,60,75,50,"LS",1,2.14,2.5,"1",3491
33,496,60,75,50,"LS",1,6.14,2.5,"1",3491
34,496,60,75,50,"LS",1,5.71,2.5,"1",3491
35,496,60,75,50,"LS",1,4.29,2.5,"1",3491
36,496,60,75,50,"LS",1,4.43,2.5,"1",3491
37,496,60,75,50,"LS",1,5.71,2.5,"1",3491
38,496,60,75,50,"LS",1,6.57,2.5,"1",3491
39,496,60,75,50,"LS",1,6.71,2.5,"1",3491
40,496,60,75,50,"LS",1,6,2.5,"1",3491
41,496,60,75,50,"LS",1,4,2.5,"1",3491
42,496,60,75,50,"LS",1,6,2.5,"1",3491
43,496,60,75,50,"LS",1,6.43,2.5,"1",3491
44,496,60,75,50,"LS",1,7.14,2.5,"1",3491
45,496,60,75,50,"LS",1,8.86,2.5,"1",3491
46,496,60,75,50,"LS",1,7.57,2.5,"1",3491
47,496,60,75,50,"LS",1,9,2.5,"1",3491
48,496,60,75,50,"LS",1,10.86,2.5,"1",3491
49,496,60,75,50,"LS",1,10.43,2.5,"1",3491
50,496,60,75,50,"LS",1,10.14,2.5,"1",3491
51,496,60,75,50,"LS",1,11,2.5,"1",3491
52,496,60,75,50,"LS",1,9.43,2.5,"1",3491
0,1143,60,75,50,"LS",1,0.86,2.5,"1",8091
1,1143,60,75,50,"LS",1,1.14,2.5,"1",8091
2,1143,60,75,50,"LS",1,1.29,2.5,"1",8091
3,1143,60,75,50,"LS",1,1.57,2.5,"1",8091
4,1143,60,75,50,"LS",1,1.71,2.5,"1",8091
5,1143,60,75,50,"LS",1,1.86,2.5,"1",8091
6,1143,60,75,50,"LS",1,1.57,2.5,"1",8091
7,1143,60,75,50,"LS",1,2.14,2.5,"1",8091
8,1143,60,75,50,"LS",1,3.29,2.5,"1",8091
9,1143,60,75,50,"LS",1,2.14,2.5,"1",8091
10,1143,60,75,50,"LS",1,2.86,2.5,"1",8091
11,1143,60,75,50,"LS",1,3.86,2.5,"1",8091
12,1143,60,75,50,"LS",1,2.57,2.5,"1",8091
13,1143,60,75,50,"LS",1,2.86,2.5,"1",8091
14,1143,60,75,50,"LS",1,2.43,2.5,"1",8091
15,1143,60,75,50,"LS",1,2.57,2.5,"1",8091
16,1143,60,75,50,"LS",1,3.29,2.5,"1",8091
17,1143,60,75,50,"LS",1,4.86,2.5,"1",8091
18,1143,60,75,50,"LS",1,4.57,2.5,"1",8091
19,1143,60,75,50,"LS",1,4,2.5,"1",8091
20,1143,60,75,50,"LS",1,4.43,2.5,"1",8091
21,1143,60,75,50,"LS",1,4.29,2.5,"1",8091
22,1143,60,75,50,"LS",1,3.57,2.5,"1",8091
