"wk","tr","vu","ve1","ve2","str","rl","nc","R0","stg","id"
0,178,75,75,90,"ME",1,0.86,2.5,"1",1406
1,178,75,75,90,"ME",1,1.14,2.5,"1",1406
1,178,75,75,90,"ME",1,1.14,2.5,"1b",1407
2,178,75,75,90,"ME",1,0.43,2.5,"1b",1407
2,178,75,75,90,"ME",1,0.43,2.5,"2",1408
3,178,75,75,90,"ME",1,1.43,2.5,"2",1408
4,178,75,75,90,"ME",1,0.71,2.5,"2",1408
5,178,75,75,90,"ME",1,1.29,2.5,"2",1408
6,178,75,75,90,"ME",1,0.29,2.5,"2",1408
7,178,75,75,90,"ME",1,0.43,2.5,"2",1408
8,178,75,75,90,"ME",1,0.71,2.5,"2",1408
9,178,75,75,90,"ME",1,0.57,2.5,"2",1408
9,178,75,75,90,"ME",1,0.57,2.5,"1b",1409
10,178,75,75,90,"ME",1,0,2.5,"1b",1409
11,178,75,75,90,"ME",1,0.14,2.5,"1b",1409
12,178,75,75,90,"ME",1,0.29,2.5,"1b",1409
12,178,75,75,90,"ME",1,0.29,2.5,"1",1410
13,178,75,75,90,"ME",1,0.43,2.5,"1",1410
13,178,75,75,90,"ME",1,0.43,2.5,"1b",1411
14,178,75,75,90,"ME",1,0.14,2.5,"1b",1411
15,178,75,75,90,"ME",1,0.71,2.5,"1b",1411
16,178,75,75,90,"ME",1,1.57,2.5,"1b",1411
17,178,75,75,90,"ME",1,1.29,2.5,"1b",1411
18,178,75,75,90,"ME",1,1.71,2.5,"1b",1411
19,178,75,75,90,"ME",1,1.43,2.5,"1b",1411
20,178,75,75,90,"ME",1,1.14,2.5,"1b",1411
21,178,75,75,90,"ME",1,1.43,2.5,"1b",1411
22,178,75,75,90,"ME",1,1.14,2.5,"1b",1411
23,178,75,75,90,"ME",1,1.71,2.5,"1b",1411
24,178,75,75,90,"ME",1,2.14,2.5,"1b",1411
24,178,75,75,90,"ME",1,2.14,2.5,"2",1412
25,178,75,75,90,"ME",1,2.29,2.5,"2",1412
26,178,75,75,90,"ME",1,1.71,2.5,"2",1412
27,178,75,75,90,"ME",1,1.14,2.5,"2",1412
28,178,75,75,90,"ME",1,0.14,2.5,"2",1412
28,178,75,75,90,"ME",1,0.14,2.5,"1b",1413
29,178,75,75,90,"ME",1,1,2.5,"1b",1413
30,178,75,75,90,"ME",1,0.57,2.5,"1b",1413
31,178,75,75,90,"ME",1,1.71,2.5,"1b",1413
32,178,75,75,90,"ME",1,0.71,2.5,"1b",1413
33,178,75,75,90,"ME",1,1.43,2.5,"1b",1413
34,178,75,75,90,"ME",1,1.14,2.5,"1b",1413
35,178,75,75,90,"ME",1,0.71,2.5,"1b",1413
36,178,75,75,90,"ME",1,1.71,2.5,"1b",1413
37,178,75,75,90,"ME",1,2,2.5,"1b",1413
38,178,75,75,90,"ME",1,2.14,2.5,"1b",1413
39,178,75,75,90,"ME",1,3.29,2.5,"1b",1413
40,178,75,75,90,"ME",1,3.57,2.5,"1b",1413
41,178,75,75,90,"ME",1,2,2.5,"1b",1413
42,178,75,75,90,"ME",1,1.57,2.5,"1b",1413
43,178,75,75,90,"ME",1,2,2.5,"1b",1413
44,178,75,75,90,"ME",1,1.14,2.5,"1b",1413
45,178,75,75,90,"ME",1,2.29,2.5,"1b",1413
46,178,75,75,90,"ME",1,2,2.5,"1b",1413
47,178,75,75,90,"ME",1,3.29,2.5,"1b",1413
48,178,75,75,90,"ME",1,2.43,2.5,"1b",1413
49,178,75,75,90,"ME",1,2.86,2.5,"1b",1413
50,178,75,75,90,"ME",1,1.57,2.5,"1b",1413
51,178,75,75,90,"ME",1,1.86,2.5,"1b",1413
52,178,75,75,90,"ME",1,2.29,2.5,"1b",1413
0,827,75,75,90,"ME",1,0.86,2.5,"1",6099
1,827,75,75,90,"ME",1,1.14,2.5,"1",6099
1,827,75,75,90,"ME",1,1.14,2.5,"2",6100
2,827,75,75,90,"ME",1,1,2.5,"2",6100
3,827,75,75,90,"ME",1,0.71,2.5,"2",6100
4,827,75,75,90,"ME",1,1,2.5,"2",6100
5,827,75,75,90,"ME",1,1,2.5,"2",6100
6,827,75,75,90,"ME",1,1.43,2.5,"2",6100
7,827,75,75,90,"ME",1,1.14,2.5,"2",6100
8,827,75,75,90,"ME",1,1.29,2.5,"2",6100
9,827,75,75,90,"ME",1,1,2.5,"2",6100
10,827,75,75,90,"ME",1,0.71,2.5,"2",6100
11,827,75,75,90,"ME",1,0.29,2.5,"2",6100
11,827,75,75,90,"ME",1,0.29,2.5,"1b",6101
12,827,75,75,90,"ME",1,0.43,2.5,"1b",6101
13,827,75,75,90,"ME",1,0.14,2.5,"1b",6101
14,827,75,75,90,"ME",1,0.71,2.5,"1b",6101
15,827,75,75,90,"ME",1,1.57,2.5,"1b",6101
16,827,75,75,90,"ME",1,2.57,2.5,"1b",6101
17,827,75,75,90,"ME",1,1.71,2.5,"1b",6101
17,827,75,75,90,"ME",1,1.71,2.5,"2",6102
18,827,75,75,90,"ME",1,1.86,2.5,"2",6102
19,827,75,75,90,"ME",1,1,2.5,"2",6102
20,827,75,75,90,"ME",1,0.86,2.5,"2",6102
20,827,75,75,90,"ME",1,0.86,2.5,"1b",6103
21,827,75,75,90,"ME",1,0.71,2.5,"1b",6103
22,827,75,75,90,"ME",1,1.14,2.5,"1b",6103
23,827,75,75,90,"ME",1,1.43,2.5,"1b",6103
24,827,75,75,90,"ME",1,0.29,2.5,"1b",6103
25,827,75,75,90,"ME",1,0.29,2.5,"1b",6103
26,827,75,75,90,"ME",1,0.29,2.5,"1b",6103
27,827,75,75,90,"ME",1,0.86,2.5,"1b",6103
28,827,75,75,90,"ME",1,0.29,2.5,"1b",6103
29,827,75,75,90,"ME",1,0.43,2.5,"1b",6103
30,827,75,75,90,"ME",1,0,2.5,"1b",6103
31,827,75,75,90,"ME",1,0,2.5,"1b",6103
32,827,75,75,90,"ME",1,0,2.5,"1b",6103
32,827,75,75,90,"ME",1,0,2.5,"1",6104
33,827,75,75,90,"ME",1,0,2.5,"1",6104
34,827,75,75,90,"ME",1,0,2.5,"1",6104
35,827,75,75,90,"ME",1,0.29,2.5,"1",6104
36,827,75,75,90,"ME",1,0.57,2.5,"1",6104
37,827,75,75,90,"ME",1,0.71,2.5,"1",6104
38,827,75,75,90,"ME",1,0.14,2.5,"1",6104
39,827,75,75,90,"ME",1,0.14,2.5,"1",6104
40,827,75,75,90,"ME",1,0.29,2.5,"1",6104
41,827,75,75,90,"ME",1,0.29,2.5,"1",6104
42,827,75,75,90,"ME",1,0.43,2.5,"1",6104
43,827,75,75,90,"ME",1,0.43,2.5,"1",6104
44,827,75,75,90,"ME",1,0.57,2.5,"1",6104
45,827,75,75,90,"ME",1,0.86,2.5,"1",6104
46,827,75,75,90,"ME",1,0.71,2.5,"1",6104
47,827,75,75,90,"ME",1,1,2.5,"1",6104
48,827,75,75,90,"ME",1,1.29,2.5,"1",6104
49,827,75,75,90,"ME",1,0.57,2.5,"1",6104
50,827,75,75,90,"ME",1,0.43,2.5,"1",6104
51,827,75,75,90,"ME",1,0.43,2.5,"1",6104
52,827,75,75,90,"ME",1,0.71,2.5,"1",6104
0,1475,75,75,90,"ME",1,0.86,2.5,"1",10601
1,1475,75,75,90,"ME",1,1.29,2.5,"1",10601
1,1475,75,75,90,"ME",1,1.29,2.5,"1b",10602
2,1475,75,75,90,"ME",1,2,2.5,"1b",10602
2,1475,75,75,90,"ME",1,2,2.5,"2",10603
3,1475,75,75,90,"ME",1,1,2.5,"2",10603
4,1475,75,75,90,"ME",1,1.14,2.5,"2",10603
5,1475,75,75,90,"ME",1,2,2.5,"2",10603
6,1475,75,75,90,"ME",1,1.29,2.5,"2",10603
7,1475,75,75,90,"ME",1,1.71,2.5,"2",10603
8,1475,75,75,90,"ME",1,1.86,2.5,"2",10603
9,1475,75,75,90,"ME",1,2,2.5,"2",10603
10,1475,75,75,90,"ME",1,1.86,2.5,"2",10603
11,1475,75,75,90,"ME",1,0.71,2.5,"2",10603
12,1475,75,75,90,"ME",1,0.86,2.5,"2",10603
13,1475,75,75,90,"ME",1,0.57,2.5,"2",10603
14,1475,75,75,90,"ME",1,1.14,2.5,"2",10603
15,1475,75,75,90,"ME",1,1.86,2.5,"2",10603
15,1475,75,75,90,"ME",1,1.86,2.5,"1b",10604
16,1475,75,75,90,"ME",1,1.29,2.5,"1b",10604
17,1475,75,75,90,"ME",1,2.29,2.5,"1b",10604
18,1475,75,75,90,"ME",1,1.14,2.5,"1b",10604
18,1475,75,75,90,"ME",1,1.14,2.5,"2",10605
19,1475,75,75,90,"ME",1,2.29,2.5,"2",10605
20,1475,75,75,90,"ME",1,1.43,2.5,"2",10605
21,1475,75,75,90,"ME",1,0.43,2.5,"2",10605
21,1475,75,75,90,"ME",1,0.43,2.5,"1b",10606
22,1475,75,75,90,"ME",1,0.71,2.5,"1b",10606
23,1475,75,75,90,"ME",1,0.57,2.5,"1b",10606
24,1475,75,75,90,"ME",1,0.57,2.5,"1b",10606
25,1475,75,75,90,"ME",1,0.86,2.5,"1b",10606
26,1475,75,75,90,"ME",1,0.71,2.5,"1b",10606
27,1475,75,75,90,"ME",1,1,2.5,"1b",10606
28,1475,75,75,90,"ME",1,0.57,2.5,"1b",10606
29,1475,75,75,90,"ME",1,0.71,2.5,"1b",10606
30,1475,75,75,90,"ME",1,0.57,2.5,"1b",10606
31,1475,75,75,90,"ME",1,0.14,2.5,"1b",10606
32,1475,75,75,90,"ME",1,0.57,2.5,"1b",10606
32,1475,75,75,90,"ME",1,0.57,2.5,"1",10607
33,1475,75,75,90,"ME",1,0.43,2.5,"1",10607
34,1475,75,75,90,"ME",1,0.14,2.5,"1",10607
35,1475,75,75,90,"ME",1,0,2.5,"1",10607
36,1475,75,75,90,"ME",1,0.14,2.5,"1",10607
37,1475,75,75,90,"ME",1,0.43,2.5,"1",10607
38,1475,75,75,90,"ME",1,0.43,2.5,"1",10607
39,1475,75,75,90,"ME",1,0.29,2.5,"1",10607
40,1475,75,75,90,"ME",1,0.57,2.5,"1",10607
41,1475,75,75,90,"ME",1,1,2.5,"1",10607
42,1475,75,75,90,"ME",1,0.57,2.5,"1",10607
43,1475,75,75,90,"ME",1,0.29,2.5,"1",10607
44,1475,75,75,90,"ME",1,0.43,2.5,"1",10607
45,1475,75,75,90,"ME",1,0.14,2.5,"1",10607
46,1475,75,75,90,"ME",1,0.29,2.5,"1",10607
47,1475,75,75,90,"ME",1,0.29,2.5,"1",10607
48,1475,75,75,90,"ME",1,0.86,2.5,"1",10607
49,1475,75,75,90,"ME",1,0.43,2.5,"1",10607
50,1475,75,75,90,"ME",1,1,2.5,"1",10607
