"wk","tr","vu","ve1","ve2","str","rl","nc","R0","stg","id"
0,446,60,75,75,"TS",1,0.86,3.75,"1",3124
1,446,60,75,75,"TS",1,1.57,3.75,"1",3124
2,446,60,75,75,"TS",1,2.71,3.75,"1",3124
3,446,60,75,75,"TS",1,3.14,3.75,"1",3124
4,446,60,75,75,"TS",1,5.57,3.75,"1",3124
5,446,60,75,75,"TS",1,7,3.75,"1",3124
6,446,60,75,75,"TS",1,11.43,3.75,"1",3124
7,446,60,75,75,"TS",1,18.57,3.75,"1",3124
8,446,60,75,75,"TS",1,29.71,3.75,"1",3124
9,446,60,75,75,"TS",1,46.86,3.75,"1",3124
9,446,60,75,75,"TS",1,46.86,3.75,"1b",3125
10,446,60,75,75,"TS",1,63.43,3.75,"1b",3125
11,446,60,75,75,"TS",1,164.57,3.75,"1b",3125
12,446,60,75,75,"TS",1,178.29,3.75,"1b",3125
12,446,60,75,75,"TS",1,178.29,3.75,"4",3126
13,446,60,75,75,"TS",1,114.29,3.75,"4",3126
14,446,60,75,75,"TS",1,64,3.75,"4",3126
15,446,60,75,75,"TS",1,45.71,3.75,"4",3126
16,446,60,75,75,"TS",1,29.71,3.75,"4",3126
17,446,60,75,75,"TS",1,13.14,3.75,"4",3126
18,446,60,75,75,"TS",1,13.14,3.75,"4",3126
18,446,60,75,75,"TS",1,13.14,3.75,"3",3127
19,446,60,75,75,"TS",1,20.57,3.75,"3",3127
20,446,60,75,75,"TS",1,24,3.75,"3",3127
21,446,60,75,75,"TS",1,22.86,3.75,"3",3127
21,446,60,75,75,"TS",1,22.86,3.75,"2",3128
22,446,60,75,75,"TS",1,26.29,3.75,"2",3128
23,446,60,75,75,"TS",1,40.57,3.75,"2",3128
23,446,60,75,75,"TS",1,40.57,3.75,"1b",3129
24,446,60,75,75,"TS",1,51.43,3.75,"1b",3129
25,446,60,75,75,"TS",1,58.86,3.75,"1b",3129
26,446,60,75,75,"TS",1,112,3.75,"1b",3129
27,446,60,75,75,"TS",1,130.29,3.75,"1b",3129
28,446,60,75,75,"TS",1,169.14,3.75,"1b",3129
29,446,60,75,75,"TS",1,226.29,3.75,"1b",3129
30,446,60,75,75,"TS",1,304,3.75,"1b",3129
31,446,60,75,75,"TS",1,283.43,3.75,"1b",3129
31,446,60,75,75,"TS",1,283.43,3.75,"3",3130
32,446,60,75,75,"TS",1,256,3.75,"3",3130
33,446,60,75,75,"TS",1,411.43,3.75,"3",3130
34,446,60,75,75,"TS",1,374.86,3.75,"3",3130
35,446,60,75,75,"TS",1,438.86,3.75,"3",3130
36,446,60,75,75,"TS",1,493.71,3.75,"3",3130
37,446,60,75,75,"TS",1,356.57,3.75,"3",3130
38,446,60,75,75,"TS",1,466.29,3.75,"3",3130
39,446,60,75,75,"TS",1,539.43,3.75,"3",3130
40,446,60,75,75,"TS",1,521.14,3.75,"3",3130
41,446,60,75,75,"TS",1,448,3.75,"3",3130
42,446,60,75,75,"TS",1,292.57,3.75,"3",3130
43,446,60,75,75,"TS",1,329.14,3.75,"3",3130
44,446,60,75,75,"TS",1,301.71,3.75,"3",3130
45,446,60,75,75,"TS",1,155.43,3.75,"3",3130
46,446,60,75,75,"TS",1,112,3.75,"3",3130
47,446,60,75,75,"TS",1,16,3.75,"3",3130
48,446,60,75,75,"TS",1,18.86,3.75,"3",3130
48,446,60,75,75,"TS",1,18.86,3.75,"2",3131
49,446,60,75,75,"TS",1,8,3.75,"2",3131
50,446,60,75,75,"TS",1,4.71,3.75,"2",3131
51,446,60,75,75,"TS",1,6,3.75,"2",3131
51,446,60,75,75,"TS",1,6,3.75,"1b",3132
52,446,60,75,75,"TS",1,8.29,3.75,"1b",3132
0,1094,60,75,75,"TS",1,0.86,3.75,"1",7728
1,1094,60,75,75,"TS",1,1.14,3.75,"1",7728
2,1094,60,75,75,"TS",1,2.43,3.75,"1",7728
3,1094,60,75,75,"TS",1,3.86,3.75,"1",7728
4,1094,60,75,75,"TS",1,7.14,3.75,"1",7728
5,1094,60,75,75,"TS",1,14,3.75,"1",7728
6,1094,60,75,75,"TS",1,21.14,3.75,"1",7728
7,1094,60,75,75,"TS",1,31.43,3.75,"1",7728
7,1094,60,75,75,"TS",1,31.43,3.75,"1b",7729
8,1094,60,75,75,"TS",1,28,3.75,"1b",7729
9,1094,60,75,75,"TS",1,43.43,3.75,"1b",7729
10,1094,60,75,75,"TS",1,68,3.75,"1b",7729
11,1094,60,75,75,"TS",1,112,3.75,"1b",7729
11,1094,60,75,75,"TS",1,112,3.75,"3",7730
12,1094,60,75,75,"TS",1,132.57,3.75,"3",7730
12,1094,60,75,75,"TS",1,132.57,3.75,"4",7731
13,1094,60,75,75,"TS",1,57.14,3.75,"4",7731
14,1094,60,75,75,"TS",1,75.43,3.75,"4",7731
15,1094,60,75,75,"TS",1,68.57,3.75,"4",7731
16,1094,60,75,75,"TS",1,36.57,3.75,"4",7731
17,1094,60,75,75,"TS",1,26.29,3.75,"4",7731
18,1094,60,75,75,"TS",1,17.14,3.75,"4",7731
18,1094,60,75,75,"TS",1,17.14,3.75,"3",7732
19,1094,60,75,75,"TS",1,13.14,3.75,"3",7732
20,1094,60,75,75,"TS",1,16.57,3.75,"3",7732
21,1094,60,75,75,"TS",1,22.29,3.75,"3",7732
21,1094,60,75,75,"TS",1,22.29,3.75,"2",7733
22,1094,60,75,75,"TS",1,24.57,3.75,"2",7733
23,1094,60,75,75,"TS",1,17.71,3.75,"2",7733
24,1094,60,75,75,"TS",1,25.71,3.75,"2",7733
24,1094,60,75,75,"TS",1,25.71,3.75,"1b",7734
25,1094,60,75,75,"TS",1,41.71,3.75,"1b",7734
26,1094,60,75,75,"TS",1,52.57,3.75,"1b",7734
27,1094,60,75,75,"TS",1,73.14,3.75,"1b",7734
27,1094,60,75,75,"TS",1,73.14,3.75,"1",7735
28,1094,60,75,75,"TS",1,61.71,3.75,"1",7735
28,1094,60,75,75,"TS",1,61.71,3.75,"1b",7736
29,1094,60,75,75,"TS",1,80,3.75,"1b",7736
30,1094,60,75,75,"TS",1,73.14,3.75,"1b",7736
31,1094,60,75,75,"TS",1,61.71,3.75,"1b",7736
32,1094,60,75,75,"TS",1,93.71,3.75,"1b",7736
33,1094,60,75,75,"TS",1,96,3.75,"1b",7736
34,1094,60,75,75,"TS",1,173.71,3.75,"1b",7736
35,1094,60,75,75,"TS",1,176,3.75,"1b",7736
36,1094,60,75,75,"TS",1,240,3.75,"1b",7736
37,1094,60,75,75,"TS",1,233.14,3.75,"1b",7736
38,1094,60,75,75,"TS",1,301.71,3.75,"1b",7736
38,1094,60,75,75,"TS",1,301.71,3.75,"3",7737
39,1094,60,75,75,"TS",1,155.43,3.75,"3",7737
40,1094,60,75,75,"TS",1,148.57,3.75,"3",7737
41,1094,60,75,75,"TS",1,105.14,3.75,"3",7737
42,1094,60,75,75,"TS",1,118.86,3.75,"3",7737
42,1094,60,75,75,"TS",1,118.86,3.75,"2",7738
43,1094,60,75,75,"TS",1,96,3.75,"2",7738
44,1094,60,75,75,"TS",1,68.57,3.75,"2",7738
45,1094,60,75,75,"TS",1,98.29,3.75,"2",7738
45,1094,60,75,75,"TS",1,98.29,3.75,"1b",7739
46,1094,60,75,75,"TS",1,96,3.75,"1b",7739
47,1094,60,75,75,"TS",1,102.86,3.75,"1b",7739
48,1094,60,75,75,"TS",1,109.71,3.75,"1b",7739
48,1094,60,75,75,"TS",1,109.71,3.75,"1",7740
49,1094,60,75,75,"TS",1,114.29,3.75,"1",7740
50,1094,60,75,75,"TS",1,112,3.75,"1",7740
51,1094,60,75,75,"TS",1,116.57,3.75,"1",7740
52,1094,60,75,75,"TS",1,105.14,3.75,"1",7740
0,1742,60,75,75,"TS",1,0.86,3.75,"1",12245
1,1742,60,75,75,"TS",1,2.29,3.75,"1",12245
2,1742,60,75,75,"TS",1,5.71,3.75,"1",12245
3,1742,60,75,75,"TS",1,8.86,3.75,"1",12245
4,1742,60,75,75,"TS",1,12.57,3.75,"1",12245
5,1742,60,75,75,"TS",1,15.29,3.75,"1",12245
6,1742,60,75,75,"TS",1,28.57,3.75,"1",12245
6,1742,60,75,75,"TS",1,28.57,3.75,"1b",12246
7,1742,60,75,75,"TS",1,40,3.75,"1b",12246
8,1742,60,75,75,"TS",1,69.71,3.75,"1b",12246
9,1742,60,75,75,"TS",1,80,3.75,"1b",12246
9,1742,60,75,75,"TS",1,80,3.75,"3",12247
10,1742,60,75,75,"TS",1,38.86,3.75,"3",12247
11,1742,60,75,75,"TS",1,61.71,3.75,"3",12247
12,1742,60,75,75,"TS",1,52.57,3.75,"3",12247
13,1742,60,75,75,"TS",1,48,3.75,"3",12247
14,1742,60,75,75,"TS",1,64,3.75,"3",12247
15,1742,60,75,75,"TS",1,32,3.75,"3",12247
16,1742,60,75,75,"TS",1,16,3.75,"3",12247
17,1742,60,75,75,"TS",1,25.71,3.75,"3",12247
17,1742,60,75,75,"TS",1,25.71,3.75,"2",12248
18,1742,60,75,75,"TS",1,37.71,3.75,"2",12248
19,1742,60,75,75,"TS",1,48.57,3.75,"2",12248
20,1742,60,75,75,"TS",1,40,3.75,"2",12248
21,1742,60,75,75,"TS",1,44,3.75,"2",12248
22,1742,60,75,75,"TS",1,51.43,3.75,"2",12248
22,1742,60,75,75,"TS",1,51.43,3.75,"1b",12249
23,1742,60,75,75,"TS",1,77.71,3.75,"1b",12249
24,1742,60,75,75,"TS",1,146.29,3.75,"1b",12249
25,1742,60,75,75,"TS",1,169.14,3.75,"1b",12249
26,1742,60,75,75,"TS",1,294.86,3.75,"1b",12249
26,1742,60,75,75,"TS",1,294.86,3.75,"3",12250
27,1742,60,75,75,"TS",1,256,3.75,"3",12250
28,1742,60,75,75,"TS",1,219.43,3.75,"3",12250
29,1742,60,75,75,"TS",1,192,3.75,"3",12250
30,1742,60,75,75,"TS",1,107.43,3.75,"3",12250
31,1742,60,75,75,"TS",1,77.71,3.75,"3",12250
32,1742,60,75,75,"TS",1,82.29,3.75,"3",12250
33,1742,60,75,75,"TS",1,73.14,3.75,"3",12250
33,1742,60,75,75,"TS",1,73.14,3.75,"2",12251
34,1742,60,75,75,"TS",1,73.14,3.75,"2",12251
35,1742,60,75,75,"TS",1,75.43,3.75,"2",12251
36,1742,60,75,75,"TS",1,54.86,3.75,"2",12251
37,1742,60,75,75,"TS",1,84.57,3.75,"2",12251
37,1742,60,75,75,"TS",1,84.57,3.75,"1b",12252
38,1742,60,75,75,"TS",1,75.43,3.75,"1b",12252
39,1742,60,75,75,"TS",1,112,3.75,"1b",12252
40,1742,60,75,75,"TS",1,185.14,3.75,"1b",12252
40,1742,60,75,75,"TS",1,185.14,3.75,"1",12253
41,1742,60,75,75,"TS",1,274.29,3.75,"1",12253
41,1742,60,75,75,"TS",1,274.29,3.75,"1b",12254
42,1742,60,75,75,"TS",1,580.57,3.75,"1b",12254
43,1742,60,75,75,"TS",1,438.86,3.75,"1b",12254
43,1742,60,75,75,"TS",1,438.86,3.75,"3",12255
44,1742,60,75,75,"TS",1,384,3.75,"3",12255
45,1742,60,75,75,"TS",1,338.29,3.75,"3",12255
46,1742,60,75,75,"TS",1,283.43,3.75,"3",12255
47,1742,60,75,75,"TS",1,246.86,3.75,"3",12255
48,1742,60,75,75,"TS",1,182.86,3.75,"3",12255
49,1742,60,75,75,"TS",1,237.71,3.75,"3",12255
50,1742,60,75,75,"TS",1,86.86,3.75,"3",12255
51,1742,60,75,75,"TS",1,43.43,3.75,"3",12255
52,1742,60,75,75,"TS",1,59.43,3.75,"3",12255
52,1742,60,75,75,"TS",1,59.43,3.75,"2",12256
0,2388,60,75,75,"TS",1,0.86,3.75,"1",16486
1,2388,60,75,75,"TS",1,3.43,3.75,"1",16486
2,2388,60,75,75,"TS",1,2.86,3.75,"1",16486
3,2388,60,75,75,"TS",1,2.29,3.75,"1",16486
4,2388,60,75,75,"TS",1,3,3.75,"1",16486
5,2388,60,75,75,"TS",1,1.86,3.75,"1",16486
6,2388,60,75,75,"TS",1,4.29,3.75,"1",16486
7,2388,60,75,75,"TS",1,7.57,3.75,"1",16486
8,2388,60,75,75,"TS",1,7.29,3.75,"1",16486
9,2388,60,75,75,"TS",1,11,3.75,"1",16486
10,2388,60,75,75,"TS",1,17.14,3.75,"1",16486
11,2388,60,75,75,"TS",1,30.86,3.75,"1",16486
11,2388,60,75,75,"TS",1,30.86,3.75,"1b",16487
12,2388,60,75,75,"TS",1,38.86,3.75,"1b",16487
13,2388,60,75,75,"TS",1,57.14,3.75,"1b",16487
14,2388,60,75,75,"TS",1,69.14,3.75,"1b",16487
15,2388,60,75,75,"TS",1,105.14,3.75,"1b",16487
16,2388,60,75,75,"TS",1,196.57,3.75,"1b",16487
17,2388,60,75,75,"TS",1,249.14,3.75,"1b",16487
17,2388,60,75,75,"TS",1,249.14,3.75,"3",16488
18,2388,60,75,75,"TS",1,212.57,3.75,"3",16488
