"v1trans","v2trans","vUptake","strategy","relax","HALYprice","p"
50,50,60,"Loose Suppression","Yes",0,0.672874100273475
75,50,60,"Loose Suppression","Yes",0,0.219543463317677
90,50,60,"Loose Suppression","Yes",0,0.174226867966354
50,75,60,"Loose Suppression","Yes",0,0.978513912064955
75,75,60,"Loose Suppression","Yes",0,0.963560024276376
90,75,60,"Loose Suppression","Yes",0,0.532856986159459
50,90,60,"Loose Suppression","Yes",0,0.00990735809318721
75,90,60,"Loose Suppression","Yes",0,0.878603821853176
90,90,60,"Loose Suppression","Yes",0,0.666332376422361
50,50,75,"Loose Suppression","Yes",0,0.659330374794081
75,50,75,"Loose Suppression","Yes",0,0.630885057384148
90,50,75,"Loose Suppression","Yes",0,0.931015680544078
50,75,75,"Loose Suppression","Yes",0,0.856684949016199
75,75,75,"Loose Suppression","Yes",0,0.207404860528186
90,75,75,"Loose Suppression","Yes",0,0.415815944550559
50,90,75,"Loose Suppression","Yes",0,0.905965500278398
75,90,75,"Loose Suppression","Yes",0,0.557301681023091
90,90,75,"Loose Suppression","Yes",0,0.678276221966371
50,50,90,"Loose Suppression","Yes",0,0.89522568997927
75,50,90,"Loose Suppression","Yes",0,0.307768023107201
90,50,90,"Loose Suppression","Yes",0,0.863887567073107
50,75,90,"Loose Suppression","Yes",0,0.987897155573592
75,75,90,"Loose Suppression","Yes",0,0.716119648888707
90,75,90,"Loose Suppression","Yes",0,0.101055047474802
50,90,90,"Loose Suppression","Yes",0,0.360335872275755
75,90,90,"Loose Suppression","Yes",0,0.770012258784845
90,90,90,"Loose Suppression","Yes",0,0.852844735607505
50,50,60,"Tight Suppression","Yes",0,0.914100171998143
75,50,60,"Tight Suppression","Yes",0,0.25789098138921
90,50,60,"Tight Suppression","Yes",0,0.361443871399388
50,75,60,"Tight Suppression","Yes",0,0.400621235137805
75,75,60,"Tight Suppression","Yes",0,0.619162342278287
90,75,60,"Tight Suppression","Yes",0,0.791510545648634
50,90,60,"Tight Suppression","Yes",0,0.393121909815818
75,90,60,"Tight Suppression","Yes",0,0.937886278610677
90,90,60,"Tight Suppression","Yes",0,0.936730680521578
50,50,75,"Tight Suppression","Yes",0,0.62055568001233
75,50,75,"Tight Suppression","Yes",0,0.884528012014925
90,50,75,"Tight Suppression","Yes",0,0.230021675350145
50,75,75,"Tight Suppression","Yes",0,0.241199742769822
75,75,75,"Tight Suppression","Yes",0,0.214832806261256
90,75,75,"Tight Suppression","Yes",0,0.0328608059789985
50,90,75,"Tight Suppression","Yes",0,0.0799093237146735
75,90,75,"Tight Suppression","Yes",0,0.119545542867854
90,90,75,"Tight Suppression","Yes",0,0.334007555851713
50,50,90,"Tight Suppression","Yes",0,0.853260427946225
75,50,90,"Tight Suppression","Yes",0,0.883371300762519
90,50,90,"Tight Suppression","Yes",0,0.504210255341604
50,75,90,"Tight Suppression","Yes",0,0.798110711155459
75,75,90,"Tight Suppression","Yes",0,0.336102252593264
90,75,90,"Tight Suppression","Yes",0,0.0502698144409806
50,90,90,"Tight Suppression","Yes",0,0.623346474720165
75,90,90,"Tight Suppression","Yes",0,0.814336570678279
90,90,90,"Tight Suppression","Yes",0,0.0727883111685514
50,50,60,"Moderate Elimination","Yes",0,0.273938724538311
75,50,60,"Moderate Elimination","Yes",0,0.845588881289586
90,50,60,"Moderate Elimination","Yes",0,0.375284708337858
50,75,60,"Moderate Elimination","Yes",0,0.775391339324415
75,75,60,"Moderate Elimination","Yes",0,0.661409852094948
90,75,60,"Moderate Elimination","Yes",0,0.032534908503294
50,90,60,"Moderate Elimination","Yes",0,0.424635949544609
75,90,60,"Moderate Elimination","Yes",0,0.40168656501919
90,90,60,"Moderate Elimination","Yes",0,0.700943716568872
50,50,75,"Moderate Elimination","Yes",0,0.883985021850094
75,50,75,"Moderate Elimination","Yes",0,0.168887074803934
90,50,75,"Moderate Elimination","Yes",0,0.330703045940027
50,75,75,"Moderate Elimination","Yes",0,0.623857236234471
75,75,75,"Moderate Elimination","Yes",0,0.888700661016628
90,75,75,"Moderate Elimination","Yes",0,0.170628837309778
50,90,75,"Moderate Elimination","Yes",0,0.605873238295317
75,90,75,"Moderate Elimination","Yes",0,0.323715588077903
90,90,75,"Moderate Elimination","Yes",0,0.343356203986332
50,50,90,"Moderate Elimination","Yes",0,0.269988319603726
75,50,90,"Moderate Elimination","Yes",0,0.706185495946556
90,50,90,"Moderate Elimination","Yes",0,0.612926155794412
50,75,90,"Moderate Elimination","Yes",0,0.220142099075019
75,75,90,"Moderate Elimination","Yes",0,0.606085172854364
90,75,90,"Moderate Elimination","Yes",0,0.458176659420133
50,90,90,"Moderate Elimination","Yes",0,0.57254052720964
75,90,90,"Moderate Elimination","Yes",0,0.838234431343153
90,90,90,"Moderate Elimination","Yes",0,0.781672007171437
50,50,60,"Aggressive Elimination","Yes",0,0.898512493586168
75,50,60,"Aggressive Elimination","Yes",0,0.170569279929623
90,50,60,"Aggressive Elimination","Yes",0,0.765145795186982
50,75,60,"Aggressive Elimination","Yes",0,0.750096485950053
75,75,60,"Aggressive Elimination","Yes",0,0.0482875038869679
90,75,60,"Aggressive Elimination","Yes",0,0.261237983591855
50,90,60,"Aggressive Elimination","Yes",0,0.142675771377981
75,90,60,"Aggressive Elimination","Yes",0,0.973478397820145
90,90,60,"Aggressive Elimination","Yes",0,0.312798900995404
50,50,75,"Aggressive Elimination","Yes",0,0.900259646819904
75,50,75,"Aggressive Elimination","Yes",0,0.0643731881864369
90,50,75,"Aggressive Elimination","Yes",0,0.540347036672756
50,75,75,"Aggressive Elimination","Yes",0,0.439976811408997
75,75,75,"Aggressive Elimination","Yes",0,0.967601217562333
90,75,75,"Aggressive Elimination","Yes",0,0.870291586499661
50,90,75,"Aggressive Elimination","Yes",0,0.272560053970665
75,90,75,"Aggressive Elimination","Yes",0,0.493627294199541
90,90,75,"Aggressive Elimination","Yes",0,0.23639814555645
50,50,90,"Aggressive Elimination","Yes",0,0.985249392455444
75,50,90,"Aggressive Elimination","Yes",0,0.781478334683925
90,50,90,"Aggressive Elimination","Yes",0,0.973099059192464
50,75,90,"Aggressive Elimination","Yes",0,0.169658225728199
