"vaccine_uptake","v1_transmission_effectiveness","v2_transmission_effectiveness","strategy","relax_triggers","day","new_cases"
60,50,50,"Aggressive Elimination","Yes",1,0
75,50,50,"Aggressive Elimination","Yes",1,4
90,50,50,"Aggressive Elimination","Yes",1,4
60,75,50,"Aggressive Elimination","Yes",1,3
75,75,50,"Aggressive Elimination","Yes",1,7
90,75,50,"Aggressive Elimination","Yes",1,0
60,90,50,"Aggressive Elimination","Yes",1,0
75,90,50,"Aggressive Elimination","Yes",1,1
90,90,50,"Aggressive Elimination","Yes",1,6
60,50,75,"Aggressive Elimination","Yes",1,7
75,50,75,"Aggressive Elimination","Yes",1,5
90,50,75,"Aggressive Elimination","Yes",1,7
60,75,75,"Aggressive Elimination","Yes",1,0
75,75,75,"Aggressive Elimination","Yes",1,1
90,75,75,"Aggressive Elimination","Yes",1,5
60,90,75,"Aggressive Elimination","Yes",1,9
75,90,75,"Aggressive Elimination","Yes",1,12
90,90,75,"Aggressive Elimination","Yes",1,14
60,50,90,"Aggressive Elimination","Yes",1,16
75,50,90,"Aggressive Elimination","Yes",1,15
90,50,90,"Aggressive Elimination","Yes",1,23
60,75,90,"Aggressive Elimination","Yes",1,20
75,75,90,"Aggressive Elimination","Yes",1,26
90,75,90,"Aggressive Elimination","Yes",1,22
60,90,90,"Aggressive Elimination","Yes",1,15
75,90,90,"Aggressive Elimination","Yes",1,16
90,90,90,"Aggressive Elimination","Yes",1,16
60,50,50,"Moderate Elimination","Yes",1,9
75,50,50,"Moderate Elimination","Yes",1,13
90,50,50,"Moderate Elimination","Yes",1,8
60,75,50,"Moderate Elimination","Yes",1,4
75,75,50,"Moderate Elimination","Yes",1,0
90,75,50,"Moderate Elimination","Yes",1,4
60,90,50,"Moderate Elimination","Yes",1,5
75,90,50,"Moderate Elimination","Yes",1,11
90,90,50,"Moderate Elimination","Yes",1,6
60,50,75,"Moderate Elimination","Yes",1,5
75,50,75,"Moderate Elimination","Yes",1,7
90,50,75,"Moderate Elimination","Yes",1,6
60,75,75,"Moderate Elimination","Yes",1,8
75,75,75,"Moderate Elimination","Yes",1,6
90,75,75,"Moderate Elimination","Yes",1,10
60,90,75,"Moderate Elimination","Yes",1,9
75,90,75,"Moderate Elimination","Yes",1,16
90,90,75,"Moderate Elimination","Yes",1,19
60,50,90,"Moderate Elimination","Yes",1,11
75,50,90,"Moderate Elimination","Yes",1,0
90,50,90,"Moderate Elimination","Yes",1,0
60,75,90,"Moderate Elimination","Yes",1,0
75,75,90,"Moderate Elimination","Yes",1,0
90,75,90,"Moderate Elimination","Yes",1,6
60,90,90,"Moderate Elimination","Yes",1,6
75,90,90,"Moderate Elimination","Yes",1,14
90,90,90,"Moderate Elimination","Yes",1,19
60,50,50,"Tight Suppression","Yes",1,14
75,50,50,"Tight Suppression","Yes",1,19
90,50,50,"Tight Suppression","Yes",1,18
60,75,50,"Tight Suppression","Yes",1,17
75,75,50,"Tight Suppression","Yes",1,14
90,75,50,"Tight Suppression","Yes",1,13
60,90,50,"Tight Suppression","Yes",1,11
75,90,50,"Tight Suppression","Yes",1,8
90,90,50,"Tight Suppression","Yes",1,14
60,50,75,"Tight Suppression","Yes",1,1
75,50,75,"Tight Suppression","Yes",1,2
90,50,75,"Tight Suppression","Yes",1,0
60,75,75,"Tight Suppression","Yes",1,6
75,75,75,"Tight Suppression","Yes",1,3
90,75,75,"Tight Suppression","Yes",1,1
60,90,75,"Tight Suppression","Yes",1,2
75,90,75,"Tight Suppression","Yes",1,5
90,90,75,"Tight Suppression","Yes",1,5
60,50,90,"Tight Suppression","Yes",1,4
75,50,90,"Tight Suppression","Yes",1,3
90,50,90,"Tight Suppression","Yes",1,0
60,75,90,"Tight Suppression","Yes",1,0
75,75,90,"Tight Suppression","Yes",1,1
90,75,90,"Tight Suppression","Yes",1,0
60,90,90,"Tight Suppression","Yes",1,2
75,90,90,"Tight Suppression","Yes",1,5
90,90,90,"Tight Suppression","Yes",1,0
60,50,50,"Loose Suppression","Yes",1,3
75,50,50,"Loose Suppression","Yes",1,1
90,50,50,"Loose Suppression","Yes",1,1
60,75,50,"Loose Suppression","Yes",1,2
75,75,50,"Loose Suppression","Yes",1,2
90,75,50,"Loose Suppression","Yes",1,8
60,90,50,"Loose Suppression","Yes",1,8
75,90,50,"Loose Suppression","Yes",1,11
90,90,50,"Loose Suppression","Yes",1,13
60,50,75,"Loose Suppression","Yes",1,9
75,50,75,"Loose Suppression","Yes",1,13
90,50,75,"Loose Suppression","Yes",1,13
60,75,75,"Loose Suppression","Yes",1,15
75,75,75,"Loose Suppression","Yes",1,17
90,75,75,"Loose Suppression","Yes",1,14
60,90,75,"Loose Suppression","Yes",1,17
75,90,75,"Loose Suppression","Yes",1,15
90,90,75,"Loose Suppression","Yes",1,5
60,50,90,"Loose Suppression","Yes",1,3
75,50,90,"Loose Suppression","Yes",1,9
90,50,90,"Loose Suppression","Yes",1,5
60,75,90,"Loose Suppression","Yes",1,9
75,75,90,"Loose Suppression","Yes",1,12
