"wk","tr","vu","ve1","ve2","str","rl","nc","R0","stg","id"
0,125,90,75,90,"AE",1,0.86,3.75,"1",1014
1,125,90,75,90,"AE",1,0.86,3.75,"1",1014
1,125,90,75,90,"AE",1,0.86,3.75,"2",1015
2,125,90,75,90,"AE",1,0.57,3.75,"2",1015
2,125,90,75,90,"AE",1,0.57,3.75,"3",1016
3,125,90,75,90,"AE",1,1.57,3.75,"3",1016
4,125,90,75,90,"AE",1,2.57,3.75,"3",1016
5,125,90,75,90,"AE",1,2.43,3.75,"3",1016
6,125,90,75,90,"AE",1,3.43,3.75,"3",1016
7,125,90,75,90,"AE",1,1.29,3.75,"3",1016
8,125,90,75,90,"AE",1,1.29,3.75,"3",1016
9,125,90,75,90,"AE",1,1.43,3.75,"3",1016
10,125,90,75,90,"AE",1,1.43,3.75,"3",1016
11,125,90,75,90,"AE",1,1.57,3.75,"3",1016
12,125,90,75,90,"AE",1,0.57,3.75,"3",1016
13,125,90,75,90,"AE",1,0.71,3.75,"3",1016
14,125,90,75,90,"AE",1,1,3.75,"3",1016
14,125,90,75,90,"AE",1,1,3.75,"2",1017
15,125,90,75,90,"AE",1,1.14,3.75,"2",1017
16,125,90,75,90,"AE",1,1,3.75,"2",1017
17,125,90,75,90,"AE",1,1.43,3.75,"2",1017
18,125,90,75,90,"AE",1,2.57,3.75,"2",1017
19,125,90,75,90,"AE",1,2,3.75,"2",1017
20,125,90,75,90,"AE",1,3.86,3.75,"2",1017
20,125,90,75,90,"AE",1,3.86,3.75,"3",1018
21,125,90,75,90,"AE",1,3.14,3.75,"3",1018
22,125,90,75,90,"AE",1,1.86,3.75,"3",1018
23,125,90,75,90,"AE",1,1.14,3.75,"3",1018
24,125,90,75,90,"AE",1,2,3.75,"3",1018
24,125,90,75,90,"AE",1,2,3.75,"2",1019
25,125,90,75,90,"AE",1,1.71,3.75,"2",1019
26,125,90,75,90,"AE",1,1.43,3.75,"2",1019
27,125,90,75,90,"AE",1,1.86,3.75,"2",1019
28,125,90,75,90,"AE",1,1.43,3.75,"2",1019
29,125,90,75,90,"AE",1,1.57,3.75,"2",1019
30,125,90,75,90,"AE",1,2.29,3.75,"2",1019
31,125,90,75,90,"AE",1,2.29,3.75,"2",1019
32,125,90,75,90,"AE",1,1.57,3.75,"2",1019
33,125,90,75,90,"AE",1,4,3.75,"2",1019
34,125,90,75,90,"AE",1,2,3.75,"2",1019
35,125,90,75,90,"AE",1,1.71,3.75,"2",1019
36,125,90,75,90,"AE",1,1.57,3.75,"2",1019
37,125,90,75,90,"AE",1,1.57,3.75,"2",1019
38,125,90,75,90,"AE",1,2,3.75,"2",1019
39,125,90,75,90,"AE",1,2.29,3.75,"2",1019
40,125,90,75,90,"AE",1,1.57,3.75,"2",1019
41,125,90,75,90,"AE",1,2,3.75,"2",1019
42,125,90,75,90,"AE",1,2,3.75,"2",1019
43,125,90,75,90,"AE",1,1.71,3.75,"2",1019
44,125,90,75,90,"AE",1,2,3.75,"2",1019
45,125,90,75,90,"AE",1,2.71,3.75,"2",1019
46,125,90,75,90,"AE",1,2.71,3.75,"2",1019
47,125,90,75,90,"AE",1,2.86,3.75,"2",1019
48,125,90,75,90,"AE",1,4.14,3.75,"2",1019
49,125,90,75,90,"AE",1,2.71,3.75,"2",1019
50,125,90,75,90,"AE",1,1.71,3.75,"2",1019
51,125,90,75,90,"AE",1,2.57,3.75,"2",1019
52,125,90,75,90,"AE",1,1.86,3.75,"2",1019
0,774,90,75,90,"AE",1,0.86,3.75,"1",5610
1,774,90,75,90,"AE",1,1.71,3.75,"1",5610
1,774,90,75,90,"AE",1,1.71,3.75,"2",5611
2,774,90,75,90,"AE",1,0.71,3.75,"2",5611
2,774,90,75,90,"AE",1,0.71,3.75,"3",5612
3,774,90,75,90,"AE",1,0.43,3.75,"3",5612
4,774,90,75,90,"AE",1,0.86,3.75,"3",5612
5,774,90,75,90,"AE",1,1,3.75,"3",5612
5,774,90,75,90,"AE",1,1,3.75,"2",5613
6,774,90,75,90,"AE",1,0.57,3.75,"2",5613
7,774,90,75,90,"AE",1,1.71,3.75,"2",5613
8,774,90,75,90,"AE",1,1.43,3.75,"2",5613
8,774,90,75,90,"AE",1,1.43,3.75,"3",5614
9,774,90,75,90,"AE",1,0.57,3.75,"3",5614
10,774,90,75,90,"AE",1,0.14,3.75,"3",5614
11,774,90,75,90,"AE",1,1.43,3.75,"3",5614
12,774,90,75,90,"AE",1,0.71,3.75,"3",5614
12,774,90,75,90,"AE",1,0.71,3.75,"2",5615
13,774,90,75,90,"AE",1,0.57,3.75,"2",5615
14,774,90,75,90,"AE",1,0.71,3.75,"2",5615
15,774,90,75,90,"AE",1,0.29,3.75,"2",5615
