"wk","tr","vu","ve1","ve2","str","rl","nc","R0","stg","id"
0,523,60,75,50,"LS",0,0.86,2.5,"1",3491
1,523,60,75,50,"LS",0,1.29,2.5,"1",3491
2,523,60,75,50,"LS",0,0.71,2.5,"1",3491
3,523,60,75,50,"LS",0,0.86,2.5,"1",3491
4,523,60,75,50,"LS",0,0.43,2.5,"1",3491
5,523,60,75,50,"LS",0,1,2.5,"1",3491
6,523,60,75,50,"LS",0,0.86,2.5,"1",3491
7,523,60,75,50,"LS",0,0.86,2.5,"1",3491
8,523,60,75,50,"LS",0,0.86,2.5,"1",3491
9,523,60,75,50,"LS",0,1.43,2.5,"1",3491
10,523,60,75,50,"LS",0,2.14,2.5,"1",3491
11,523,60,75,50,"LS",0,2.29,2.5,"1",3491
12,523,60,75,50,"LS",0,3,2.5,"1",3491
13,523,60,75,50,"LS",0,3.71,2.5,"1",3491
14,523,60,75,50,"LS",0,2.86,2.5,"1",3491
15,523,60,75,50,"LS",0,2,2.5,"1",3491
16,523,60,75,50,"LS",0,2.57,2.5,"1",3491
17,523,60,75,50,"LS",0,3,2.5,"1",3491
18,523,60,75,50,"LS",0,2.57,2.5,"1",3491
19,523,60,75,50,"LS",0,1.14,2.5,"1",3491
20,523,60,75,50,"LS",0,2.14,2.5,"1",3491
21,523,60,75,50,"LS",0,2.14,2.5,"1",3491
22,523,60,75,50,"LS",0,1.43,2.5,"1",3491
23,523,60,75,50,"LS",0,2.29,2.5,"1",3491
24,523,60,75,50,"LS",0,2.43,2.5,"1",3491
25,523,60,75,50,"LS",0,2.71,2.5,"1",3491
26,523,60,75,50,"LS",0,2,2.5,"1",3491
27,523,60,75,50,"LS",0,2.43,2.5,"1",3491
28,523,60,75,50,"LS",0,3,2.5,"1",3491
29,523,60,75,50,"LS",0,2.57,2.5,"1",3491
30,523,60,75,50,"LS",0,2.29,2.5,"1",3491
31,523,60,75,50,"LS",0,4,2.5,"1",3491
32,523,60,75,50,"LS",0,2.14,2.5,"1",3491
33,523,60,75,50,"LS",0,6.14,2.5,"1",3491
34,523,60,75,50,"LS",0,5.71,2.5,"1",3491
35,523,60,75,50,"LS",0,4.29,2.5,"1",3491
36,523,60,75,50,"LS",0,4.43,2.5,"1",3491
37,523,60,75,50,"LS",0,5.71,2.5,"1",3491
38,523,60,75,50,"LS",0,6.57,2.5,"1",3491
39,523,60,75,50,"LS",0,6.71,2.5,"1",3491
40,523,60,75,50,"LS",0,6,2.5,"1",3491
41,523,60,75,50,"LS",0,4,2.5,"1",3491
42,523,60,75,50,"LS",0,6,2.5,"1",3491
43,523,60,75,50,"LS",0,6.43,2.5,"1",3491
44,523,60,75,50,"LS",0,7.14,2.5,"1",3491
45,523,60,75,50,"LS",0,8.86,2.5,"1",3491
46,523,60,75,50,"LS",0,7.57,2.5,"1",3491
47,523,60,75,50,"LS",0,9,2.5,"1",3491
48,523,60,75,50,"LS",0,10.86,2.5,"1",3491
49,523,60,75,50,"LS",0,10.43,2.5,"1",3491
50,523,60,75,50,"LS",0,10.14,2.5,"1",3491
