"wk","tr","vu","ve1","ve2","str","rl","nc","R0","stg","id"
0,241,75,90,90,"ME",1,0.86,3.125,"1",1968
1,241,75,90,90,"ME",1,1.43,3.125,"1",1968
1,241,75,90,90,"ME",1,1.43,3.125,"1b",1969
2,241,75,90,90,"ME",1,1.14,3.125,"1b",1969
2,241,75,90,90,"ME",1,1.14,3.125,"2",1970
3,241,75,90,90,"ME",1,1.71,3.125,"2",1970
4,241,75,90,90,"ME",1,1.43,3.125,"2",1970
5,241,75,90,90,"ME",1,1.57,3.125,"2",1970
6,241,75,90,90,"ME",1,1.71,3.125,"2",1970
7,241,75,90,90,"ME",1,1,3.125,"2",1970
8,241,75,90,90,"ME",1,1.57,3.125,"2",1970
9,241,75,90,90,"ME",1,1.43,3.125,"2",1970
10,241,75,90,90,"ME",1,2.29,3.125,"2",1970
11,241,75,90,90,"ME",1,1.86,3.125,"2",1970
12,241,75,90,90,"ME",1,1.43,3.125,"2",1970
13,241,75,90,90,"ME",1,2.71,3.125,"2",1970
14,241,75,90,90,"ME",1,2.86,3.125,"2",1970
15,241,75,90,90,"ME",1,1.71,3.125,"2",1970
16,241,75,90,90,"ME",1,2,3.125,"2",1970
17,241,75,90,90,"ME",1,1.43,3.125,"2",1970
18,241,75,90,90,"ME",1,2,3.125,"2",1970
19,241,75,90,90,"ME",1,2.57,3.125,"2",1970
20,241,75,90,90,"ME",1,2.71,3.125,"2",1970
21,241,75,90,90,"ME",1,3,3.125,"2",1970
22,241,75,90,90,"ME",1,2,3.125,"2",1970
23,241,75,90,90,"ME",1,2.14,3.125,"2",1970
24,241,75,90,90,"ME",1,1.14,3.125,"2",1970
25,241,75,90,90,"ME",1,1.29,3.125,"2",1970
25,241,75,90,90,"ME",1,1.29,3.125,"1b",1971
26,241,75,90,90,"ME",1,2.29,3.125,"1b",1971
27,241,75,90,90,"ME",1,2,3.125,"1b",1971
28,241,75,90,90,"ME",1,2.29,3.125,"1b",1971
29,241,75,90,90,"ME",1,3.43,3.125,"1b",1971
30,241,75,90,90,"ME",1,3.86,3.125,"1b",1971
31,241,75,90,90,"ME",1,2.71,3.125,"1b",1971
31,241,75,90,90,"ME",1,2.71,3.125,"2",1972
32,241,75,90,90,"ME",1,2.43,3.125,"2",1972
33,241,75,90,90,"ME",1,2.86,3.125,"2",1972
34,241,75,90,90,"ME",1,1.57,3.125,"2",1972
34,241,75,90,90,"ME",1,1.57,3.125,"1b",1973
35,241,75,90,90,"ME",1,1,3.125,"1b",1973
36,241,75,90,90,"ME",1,0.86,3.125,"1b",1973
37,241,75,90,90,"ME",1,2,3.125,"1b",1973
38,241,75,90,90,"ME",1,1.86,3.125,"1b",1973
39,241,75,90,90,"ME",1,1.71,3.125,"1b",1973
40,241,75,90,90,"ME",1,2.43,3.125,"1b",1973
41,241,75,90,90,"ME",1,1.86,3.125,"1b",1973
42,241,75,90,90,"ME",1,2,3.125,"1b",1973
43,241,75,90,90,"ME",1,3.71,3.125,"1b",1973
44,241,75,90,90,"ME",1,4.29,3.125,"1b",1973
45,241,75,90,90,"ME",1,4,3.125,"1b",1973
46,241,75,90,90,"ME",1,4.14,3.125,"1b",1973
47,241,75,90,90,"ME",1,4.57,3.125,"1b",1973
48,241,75,90,90,"ME",1,3.71,3.125,"1b",1973
49,241,75,90,90,"ME",1,4.43,3.125,"1b",1973
50,241,75,90,90,"ME",1,4.57,3.125,"1b",1973
51,241,75,90,90,"ME",1,4.71,3.125,"1b",1973
52,241,75,90,90,"ME",1,3,3.125,"1b",1973
0,890,75,90,90,"ME",1,0.86,3.125,"1",6534
1,890,75,90,90,"ME",1,1.86,3.125,"1",6534
1,890,75,90,90,"ME",1,1.86,3.125,"2",6535
2,890,75,90,90,"ME",1,1.43,3.125,"2",6535
3,890,75,90,90,"ME",1,2.29,3.125,"2",6535
4,890,75,90,90,"ME",1,2,3.125,"2",6535
5,890,75,90,90,"ME",1,2.57,3.125,"2",6535
