"wk","tr","vu","ve1","ve2","str","rl","nc","R0","stg","id"
0,451,60,90,50,"TS",1,0.86,3.75,"1",3163
1,451,60,90,50,"TS",1,1.57,3.75,"1",3163
2,451,60,90,50,"TS",1,2.71,3.75,"1",3163
3,451,60,90,50,"TS",1,3.14,3.75,"1",3163
4,451,60,90,50,"TS",1,5.86,3.75,"1",3163
5,451,60,90,50,"TS",1,8,3.75,"1",3163
6,451,60,90,50,"TS",1,11.86,3.75,"1",3163
7,451,60,90,50,"TS",1,21.14,3.75,"1",3163
8,451,60,90,50,"TS",1,30.86,3.75,"1",3163
8,451,60,90,50,"TS",1,30.86,3.75,"1b",3164
9,451,60,90,50,"TS",1,33.14,3.75,"1b",3164
10,451,60,90,50,"TS",1,52,3.75,"1b",3164
11,451,60,90,50,"TS",1,72,3.75,"1b",3164
12,451,60,90,50,"TS",1,93.71,3.75,"1b",3164
12,451,60,90,50,"TS",1,93.71,3.75,"3",3165
13,451,60,90,50,"TS",1,75.43,3.75,"3",3165
14,451,60,90,50,"TS",1,121.14,3.75,"3",3165
15,451,60,90,50,"TS",1,112,3.75,"3",3165
16,451,60,90,50,"TS",1,75.43,3.75,"3",3165
17,451,60,90,50,"TS",1,93.71,3.75,"3",3165
18,451,60,90,50,"TS",1,109.71,3.75,"3",3165
19,451,60,90,50,"TS",1,107.43,3.75,"3",3165
20,451,60,90,50,"TS",1,96,3.75,"3",3165
21,451,60,90,50,"TS",1,98.29,3.75,"3",3165
22,451,60,90,50,"TS",1,91.43,3.75,"3",3165
23,451,60,90,50,"TS",1,98.29,3.75,"3",3165
24,451,60,90,50,"TS",1,86.86,3.75,"3",3165
25,451,60,90,50,"TS",1,121.14,3.75,"3",3165
26,451,60,90,50,"TS",1,116.57,3.75,"3",3165
27,451,60,90,50,"TS",1,84.57,3.75,"3",3165
28,451,60,90,50,"TS",1,107.43,3.75,"3",3165
29,451,60,90,50,"TS",1,102.86,3.75,"3",3165
30,451,60,90,50,"TS",1,125.71,3.75,"3",3165
31,451,60,90,50,"TS",1,98.29,3.75,"3",3165
32,451,60,90,50,"TS",1,77.71,3.75,"3",3165
33,451,60,90,50,"TS",1,68.57,3.75,"3",3165
34,451,60,90,50,"TS",1,75.43,3.75,"3",3165
34,451,60,90,50,"TS",1,75.43,3.75,"2",3166
35,451,60,90,50,"TS",1,70.86,3.75,"2",3166
36,451,60,90,50,"TS",1,73.14,3.75,"2",3166
37,451,60,90,50,"TS",1,100.57,3.75,"2",3166
37,451,60,90,50,"TS",1,100.57,3.75,"1b",3167
38,451,60,90,50,"TS",1,125.71,3.75,"1b",3167
39,451,60,90,50,"TS",1,146.29,3.75,"1b",3167
40,451,60,90,50,"TS",1,256,3.75,"1b",3167
41,451,60,90,50,"TS",1,361.14,3.75,"1b",3167
42,451,60,90,50,"TS",1,347.43,3.75,"1b",3167
43,451,60,90,50,"TS",1,566.86,3.75,"1b",3167
44,451,60,90,50,"TS",1,758.86,3.75,"1b",3167
44,451,60,90,50,"TS",1,758.86,3.75,"3",3168
45,451,60,90,50,"TS",1,649.14,3.75,"3",3168
46,451,60,90,50,"TS",1,557.71,3.75,"3",3168
47,451,60,90,50,"TS",1,475.43,3.75,"3",3168
48,451,60,90,50,"TS",1,576,3.75,"3",3168
49,451,60,90,50,"TS",1,475.43,3.75,"3",3168
50,451,60,90,50,"TS",1,393.14,3.75,"3",3168
51,451,60,90,50,"TS",1,347.43,3.75,"3",3168
52,451,60,90,50,"TS",1,246.86,3.75,"3",3168
0,1099,60,90,50,"TS",1,0.86,3.75,"1",7781
1,1099,60,90,50,"TS",1,1.14,3.75,"1",7781
2,1099,60,90,50,"TS",1,2.43,3.75,"1",7781
3,1099,60,90,50,"TS",1,3.86,3.75,"1",7781
4,1099,60,90,50,"TS",1,7,3.75,"1",7781
5,1099,60,90,50,"TS",1,10.86,3.75,"1",7781
6,1099,60,90,50,"TS",1,15.29,3.75,"1",7781
7,1099,60,90,50,"TS",1,23.57,3.75,"1",7781
7,1099,60,90,50,"TS",1,23.57,3.75,"1b",7782
8,1099,60,90,50,"TS",1,33.71,3.75,"1b",7782
9,1099,60,90,50,"TS",1,51.43,3.75,"1b",7782
10,1099,60,90,50,"TS",1,91.43,3.75,"1b",7782
11,1099,60,90,50,"TS",1,116.57,3.75,"1b",7782
11,1099,60,90,50,"TS",1,116.57,3.75,"3",7783
12,1099,60,90,50,"TS",1,75.43,3.75,"3",7783
13,1099,60,90,50,"TS",1,93.71,3.75,"3",7783
14,1099,60,90,50,"TS",1,77.71,3.75,"3",7783
15,1099,60,90,50,"TS",1,82.29,3.75,"3",7783
16,1099,60,90,50,"TS",1,66.29,3.75,"3",7783
17,1099,60,90,50,"TS",1,96,3.75,"3",7783
18,1099,60,90,50,"TS",1,96,3.75,"3",7783
19,1099,60,90,50,"TS",1,73.14,3.75,"3",7783
20,1099,60,90,50,"TS",1,57.14,3.75,"3",7783
21,1099,60,90,50,"TS",1,66.29,3.75,"3",7783
22,1099,60,90,50,"TS",1,52.57,3.75,"3",7783
23,1099,60,90,50,"TS",1,57.14,3.75,"3",7783
23,1099,60,90,50,"TS",1,57.14,3.75,"2",7784
24,1099,60,90,50,"TS",1,37.71,3.75,"2",7784
25,1099,60,90,50,"TS",1,42.29,3.75,"2",7784
26,1099,60,90,50,"TS",1,51.43,3.75,"2",7784
26,1099,60,90,50,"TS",1,51.43,3.75,"1b",7785
27,1099,60,90,50,"TS",1,65.71,3.75,"1b",7785
28,1099,60,90,50,"TS",1,75.43,3.75,"1b",7785
29,1099,60,90,50,"TS",1,114.29,3.75,"1b",7785
30,1099,60,90,50,"TS",1,109.71,3.75,"1b",7785
31,1099,60,90,50,"TS",1,219.43,3.75,"1b",7785
32,1099,60,90,50,"TS",1,256,3.75,"1b",7785
33,1099,60,90,50,"TS",1,418.29,3.75,"1b",7785
34,1099,60,90,50,"TS",1,512,3.75,"1b",7785
34,1099,60,90,50,"TS",1,512,3.75,"3",7786
35,1099,60,90,50,"TS",1,438.86,3.75,"3",7786
36,1099,60,90,50,"TS",1,329.14,3.75,"3",7786
37,1099,60,90,50,"TS",1,219.43,3.75,"3",7786
38,1099,60,90,50,"TS",1,320,3.75,"3",7786
39,1099,60,90,50,"TS",1,292.57,3.75,"3",7786
40,1099,60,90,50,"TS",1,228.57,3.75,"3",7786
41,1099,60,90,50,"TS",1,192,3.75,"3",7786
42,1099,60,90,50,"TS",1,70.86,3.75,"3",7786
43,1099,60,90,50,"TS",1,61.71,3.75,"3",7786
44,1099,60,90,50,"TS",1,64,3.75,"3",7786
44,1099,60,90,50,"TS",1,64,3.75,"2",7787
45,1099,60,90,50,"TS",1,86.86,3.75,"2",7787
46,1099,60,90,50,"TS",1,86.86,3.75,"2",7787
47,1099,60,90,50,"TS",1,118.86,3.75,"2",7787
47,1099,60,90,50,"TS",1,118.86,3.75,"1b",7788
48,1099,60,90,50,"TS",1,150.86,3.75,"1b",7788
49,1099,60,90,50,"TS",1,98.29,3.75,"1b",7788
50,1099,60,90,50,"TS",1,107.43,3.75,"1b",7788
51,1099,60,90,50,"TS",1,125.71,3.75,"1b",7788
52,1099,60,90,50,"TS",1,114.29,3.75,"1b",7788
0,1747,60,90,50,"TS",1,0.86,3.75,"1",12291
1,1747,60,90,50,"TS",1,2.29,3.75,"1",12291
2,1747,60,90,50,"TS",1,5.71,3.75,"1",12291
3,1747,60,90,50,"TS",1,8.86,3.75,"1",12291
4,1747,60,90,50,"TS",1,12.57,3.75,"1",12291
5,1747,60,90,50,"TS",1,15.29,3.75,"1",12291
6,1747,60,90,50,"TS",1,30.86,3.75,"1",12291
6,1747,60,90,50,"TS",1,30.86,3.75,"1b",12292
7,1747,60,90,50,"TS",1,30.86,3.75,"1b",12292
8,1747,60,90,50,"TS",1,53.71,3.75,"1b",12292
9,1747,60,90,50,"TS",1,73.71,3.75,"1b",12292
10,1747,60,90,50,"TS",1,105.14,3.75,"1b",12292
10,1747,60,90,50,"TS",1,105.14,3.75,"3",12293
11,1747,60,90,50,"TS",1,100.57,3.75,"3",12293
12,1747,60,90,50,"TS",1,70.86,3.75,"3",12293
13,1747,60,90,50,"TS",1,146.29,3.75,"3",12293
14,1747,60,90,50,"TS",1,121.14,3.75,"3",12293
15,1747,60,90,50,"TS",1,121.14,3.75,"3",12293
16,1747,60,90,50,"TS",1,109.71,3.75,"3",12293
17,1747,60,90,50,"TS",1,89.14,3.75,"3",12293
18,1747,60,90,50,"TS",1,98.29,3.75,"3",12293
19,1747,60,90,50,"TS",1,98.29,3.75,"3",12293
20,1747,60,90,50,"TS",1,84.57,3.75,"3",12293
21,1747,60,90,50,"TS",1,98.29,3.75,"3",12293
22,1747,60,90,50,"TS",1,80,3.75,"3",12293
23,1747,60,90,50,"TS",1,73.14,3.75,"3",12293
24,1747,60,90,50,"TS",1,57.14,3.75,"3",12293
25,1747,60,90,50,"TS",1,50.29,3.75,"3",12293
26,1747,60,90,50,"TS",1,36,3.75,"3",12293
27,1747,60,90,50,"TS",1,21.71,3.75,"3",12293
27,1747,60,90,50,"TS",1,21.71,3.75,"2",12294
28,1747,60,90,50,"TS",1,26.29,3.75,"2",12294
29,1747,60,90,50,"TS",1,25.14,3.75,"2",12294
30,1747,60,90,50,"TS",1,35.43,3.75,"2",12294
30,1747,60,90,50,"TS",1,35.43,3.75,"1b",12295
31,1747,60,90,50,"TS",1,50.29,3.75,"1b",12295
32,1747,60,90,50,"TS",1,54.29,3.75,"1b",12295
33,1747,60,90,50,"TS",1,76.57,3.75,"1b",12295
33,1747,60,90,50,"TS",1,76.57,3.75,"1",12296
34,1747,60,90,50,"TS",1,96,3.75,"1",12296
34,1747,60,90,50,"TS",1,96,3.75,"1b",12297
35,1747,60,90,50,"TS",1,146.29,3.75,"1b",12297
36,1747,60,90,50,"TS",1,162.29,3.75,"1b",12297
37,1747,60,90,50,"TS",1,242.29,3.75,"1b",12297
38,1747,60,90,50,"TS",1,418.29,3.75,"1b",12297
39,1747,60,90,50,"TS",1,384,3.75,"1b",12297
39,1747,60,90,50,"TS",1,384,3.75,"3",12298
40,1747,60,90,50,"TS",1,429.71,3.75,"3",12298
41,1747,60,90,50,"TS",1,320,3.75,"3",12298
42,1747,60,90,50,"TS",1,292.57,3.75,"3",12298
43,1747,60,90,50,"TS",1,265.14,3.75,"3",12298
44,1747,60,90,50,"TS",1,256,3.75,"3",12298
45,1747,60,90,50,"TS",1,237.71,3.75,"3",12298
46,1747,60,90,50,"TS",1,164.57,3.75,"3",12298
47,1747,60,90,50,"TS",1,77.71,3.75,"3",12298
48,1747,60,90,50,"TS",1,57.14,3.75,"3",12298
49,1747,60,90,50,"TS",1,77.71,3.75,"3",12298
49,1747,60,90,50,"TS",1,77.71,3.75,"2",12299
50,1747,60,90,50,"TS",1,48,3.75,"2",12299
51,1747,60,90,50,"TS",1,52.57,3.75,"2",12299
52,1747,60,90,50,"TS",1,40,3.75,"2",12299
52,1747,60,90,50,"TS",1,40,3.75,"1b",12300
0,2394,60,90,50,"TS",1,0.86,3.75,"1",16538
1,2394,60,90,50,"TS",1,3.43,3.75,"1",16538
2,2394,60,90,50,"TS",1,2.86,3.75,"1",16538
3,2394,60,90,50,"TS",1,2.29,3.75,"1",16538
4,2394,60,90,50,"TS",1,3,3.75,"1",16538
