"v1trans","v2trans","vUptake","strategy","relax","effect","HALY"
50,50,60,"Loose Suppression","Yes","COVID-19",-740.750031033531
75,50,60,"Loose Suppression","Yes","COVID-19",-591.900491341949
90,50,60,"Loose Suppression","Yes","COVID-19",24.1894850507378
50,75,60,"Loose Suppression","Yes","COVID-19",-115.897390944883
75,75,60,"Loose Suppression","Yes","COVID-19",134.402921935543
90,75,60,"Loose Suppression","Yes","COVID-19",-727.028081612661
50,90,60,"Loose Suppression","Yes","COVID-19",176.963026449084
75,90,60,"Loose Suppression","Yes","COVID-19",-254.765419010073
90,90,60,"Loose Suppression","Yes","COVID-19",-165.929950494319
50,50,75,"Loose Suppression","Yes","COVID-19",-277.199766552076
75,50,75,"Loose Suppression","Yes","COVID-19",154.231722280383
90,50,75,"Loose Suppression","Yes","COVID-19",-448.650019429624
50,75,75,"Loose Suppression","Yes","COVID-19",-50.213114079088
75,75,75,"Loose Suppression","Yes","COVID-19",-381.327071646228
90,75,75,"Loose Suppression","Yes","COVID-19",-607.860349537805
50,90,75,"Loose Suppression","Yes","COVID-19",-794.730543810874
75,90,75,"Loose Suppression","Yes","COVID-19",-282.778384583071
90,90,75,"Loose Suppression","Yes","COVID-19",-224.122160300613
50,50,90,"Loose Suppression","Yes","COVID-19",-149.900201894343
75,50,90,"Loose Suppression","Yes","COVID-19",-713.492092629895
90,50,90,"Loose Suppression","Yes","COVID-19",-159.580797841772
50,75,90,"Loose Suppression","Yes","COVID-19",-754.657525289804
75,75,90,"Loose Suppression","Yes","COVID-19",-218.109564576298
90,75,90,"Loose Suppression","Yes","COVID-19",58.9937470387667
50,90,90,"Loose Suppression","Yes","COVID-19",140.989679424092
75,90,90,"Loose Suppression","Yes","COVID-19",-2.25470303557818
90,90,90,"Loose Suppression","Yes","COVID-19",190.540669765323
50,50,60,"Tight Suppression","Yes","COVID-19",-733.426743838936
75,50,60,"Tight Suppression","Yes","COVID-19",-566.921546543017
90,50,60,"Tight Suppression","Yes","COVID-19",-126.506151119247
50,75,60,"Tight Suppression","Yes","COVID-19",-417.997792316601
75,75,60,"Tight Suppression","Yes","COVID-19",65.8675441984087
90,75,60,"Tight Suppression","Yes","COVID-19",-301.21610169299
50,90,60,"Tight Suppression","Yes","COVID-19",-9.35809472575788
75,90,60,"Tight Suppression","Yes","COVID-19",-796.319747529924
90,90,60,"Tight Suppression","Yes","COVID-19",-1.70610793866222
50,50,75,"Tight Suppression","Yes","COVID-19",-467.499126633629
75,50,75,"Tight Suppression","Yes","COVID-19",-42.2827982809395
90,50,75,"Tight Suppression","Yes","COVID-19",-385.615521995351
50,75,75,"Tight Suppression","Yes","COVID-19",-276.509898668155
75,75,75,"Tight Suppression","Yes","COVID-19",-448.90981442295
90,75,75,"Tight Suppression","Yes","COVID-19",-436.705557117239
50,90,75,"Tight Suppression","Yes","COVID-19",-12.0365677401424
75,90,75,"Tight Suppression","Yes","COVID-19",-292.191973375157
90,90,75,"Tight Suppression","Yes","COVID-19",-634.446066524833
50,50,90,"Tight Suppression","Yes","COVID-19",-785.556546831504
75,50,90,"Tight Suppression","Yes","COVID-19",-60.5925262905658
90,50,90,"Tight Suppression","Yes","COVID-19",-319.086795859039
50,75,90,"Tight Suppression","Yes","COVID-19",-440.902948332951
75,75,90,"Tight Suppression","Yes","COVID-19",-266.767027741298
90,75,90,"Tight Suppression","Yes","COVID-19",9.4835239462554
50,90,90,"Tight Suppression","Yes","COVID-19",-691.770234331489
75,90,90,"Tight Suppression","Yes","COVID-19",-763.307476136833
90,90,90,"Tight Suppression","Yes","COVID-19",-737.880317214876
50,50,60,"Moderate Elimination","Yes","COVID-19",-603.055954631418
75,50,60,"Moderate Elimination","Yes","COVID-19",-172.635731706396
90,50,60,"Moderate Elimination","Yes","COVID-19",-770.243686810136
50,75,60,"Moderate Elimination","Yes","COVID-19",-241.1915615201
75,75,60,"Moderate Elimination","Yes","COVID-19",-401.001821924001
90,75,60,"Moderate Elimination","Yes","COVID-19",-324.422879796475
50,90,60,"Moderate Elimination","Yes","COVID-19",-702.797376736999
75,90,60,"Moderate Elimination","Yes","COVID-19",-48.8429620862008
90,90,60,"Moderate Elimination","Yes","COVID-19",-343.324642581865
50,50,75,"Moderate Elimination","Yes","COVID-19",-0.0284581445157972
75,50,75,"Moderate Elimination","Yes","COVID-19",-539.668102236465
90,50,75,"Moderate Elimination","Yes","COVID-19",-744.086611969396
50,75,75,"Moderate Elimination","Yes","COVID-19",-462.043778691441
75,75,75,"Moderate Elimination","Yes","COVID-19",98.3100005425512
90,75,75,"Moderate Elimination","Yes","COVID-19",-73.6425569746644
50,90,75,"Moderate Elimination","Yes","COVID-19",12.7450600732117
